,SnapId,2080020,2080021,2080022,2080023,2080024,2080025,2080026,2080027,2080028,2080029,2080030,2080031,2080032,2080033,2080034,2080040,2080041,2080042,2080043,2080044,2080045,2080046,2080047,2080048,2080049,2080050,2080051,2080052,2080053,2080054,2080055,2080056,2080057,2080058,2080059,2080060,2080061,2080062,2080063,2080064,2080065,LoadScore,LoadLevel,PerfScore,PerfLevel
26,31,395.2,18.2,0,0,1.2,1.4,0.1,0.6,0.0,0.0,0,1.2,0.0,1.0,0,0,0,0,0,0.02,0.02,0,5,48,63.5,99.38,100,94.22,92.86,100.0,82.14,90.74,42.66,75.14,85.86,0.0,59.41,47.15,2.32,0.0,0,38,D,80,B
27,32,620.4,3.4,0,0,1.1,0.9,0.0,0.3,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,1,0,53,163.4,100.0,100,99.92,99.92,100.0,300.0,94.64,356.82,11.81,0.0,0.0,13.38,0.0,4.35,0.0,0,31,D,90,A
28,33,458.1,80.4,0,0,2.5,1.1,0.9,1.1,0.1,0.1,0,2.0,0.0,1.0,0,0,0,0,0,0.01,0.01,10,1,53,97.9,99.96,100,91.82,90.88,100.0,88.75,95.55,79.34,88.91,50.0,0.0,72.74,7.76,3.35,0.0,0,40,D,85,B
29,34,659.4,3.6,0,0,1.1,0.9,0.0,0.4,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,47,178.3,99.98,100,99.93,99.92,100.0,100.0,93.22,361.86,11.28,0.0,0.0,12.91,100.0,6.31,100.0,0,31,D,89,B
30,35,353.3,2.7,0,0,2.3,1.0,0.5,0.6,0.0,0.0,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,25,0,53,97.0,100.0,100,99.85,99.85,100.0,60.0,98.67,48.92,14.99,0.0,0.0,16.98,0.0,4.52,0.0,0,34,D,84,B
31,36,362.5,2.6,0,0,1.1,0.9,0.0,0.3,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,52,201.0,99.96,100,99.92,99.92,100.0,100.0,96.43,408.26,15.44,50.0,0.0,17.82,50.0,5.74,0.0,0,31,D,89,B
32,37,378.5,2.8,0,0,1.1,0.9,0.0,0.4,0.0,0.0,0,0.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,2,0,53,109.0,99.74,100,99.44,99.61,100.0,100.0,90.57,232.36,14.29,100.0,0.0,16.36,0.0,5.23,0.0,0,31,D,86,B
33,38,338.5,2.6,0,0,1.7,0.9,0.4,0.5,0.0,0.0,0,0.9,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,99.3,99.98,100,99.61,99.24,100.0,100.0,97.35,59.4,15.33,0.0,0.0,17.71,0.0,3.5,0.0,0,31,D,90,A
34,39,1644.8,85.5,0,0,1.7,1.4,2.6,3.6,0.5,0.1,0,6.1,0.1,1.0,0,0,0,0,0,0.0,0.0,15,0,53,91.9,99.96,100,95.58,87.21,100.0,80.35,88.92,58.15,68.07,31.4,0.0,56.03,3.31,1.96,0.0,0,45,D,82,B
35,40,734.5,8.7,0,0,1.1,1.0,0.2,1.0,0.1,0.0,0,1.9,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,2,0,44,89.4,99.39,100,87.84,86.07,100.0,94.26,17.23,54.53,27.58,71.58,0.0,5.75,47.37,7.24,100.0,0,34,D,83,B
